time_unix,monotonic,termination_altitude_m,burst_altitude_m,burst_altitude_uncertainty_m,ascent_detect_window_s,ascent_detect_gain_m,apogee_fraction,landing_fraction,recovery_stationary_s,termination_confirm_drop_m,termination_confirm_window_s,rw_kp,rw_kd,rw_max_rpm,mm_kp,mm_kd,mm_max_current,pointing_activate_altitude_m,pointing_duration_min,gs_use_hardcoded,gs_lat,gs_lon,gs_alt
1778197253.593,5929.350,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197258.607,5934.364,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197263.622,5939.379,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197268.587,5944.343,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197273.602,5949.358,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197278.616,5954.372,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197283.630,5959.386,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197288.595,5964.351,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197293.609,5969.366,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197298.623,5974.380,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197303.589,5979.346,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197308.604,5984.360,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197313.618,5989.375,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197318.584,5994.341,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197323.600,5999.356,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197328.614,6004.371,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197333.628,6009.385,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197338.596,6014.352,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197343.610,6019.366,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197348.624,6024.381,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197353.589,6029.345,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197358.604,6034.361,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197363.619,6039.376,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197368.584,6044.340,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197373.600,6049.357,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197378.614,6054.370,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197383.630,6059.387,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197388.598,6064.354,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197393.613,6069.369,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197398.631,6074.387,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197403.602,6079.359,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197408.617,6084.374,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197413.632,6089.388,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197418.601,6094.357,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197423.614,6099.371,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197428.630,6104.387,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197433.596,6109.352,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197438.613,6114.369,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197443.628,6119.385,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197448.596,6124.352,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197453.611,6129.367,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197458.627,6134.384,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197463.593,6139.350,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197468.610,6144.367,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197473.626,6149.382,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197478.593,6154.350,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197483.613,6159.370,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197488.629,6164.385,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197493.596,6169.352,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197498.613,6174.369,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197503.628,6179.385,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197508.594,6184.351,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197513.611,6189.368,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197518.626,6194.383,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197523.592,6199.348,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197528.614,6204.370,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197533.628,6209.385,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197538.593,6214.350,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197543.610,6219.366,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197548.624,6224.381,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197553.589,6229.345,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197558.605,6234.362,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197563.620,6239.377,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197568.586,6244.343,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197573.603,6249.360,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197578.619,6254.375,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197583.584,6259.341,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197588.606,6264.363,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197593.621,6269.377,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197598.589,6274.345,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197603.605,6279.362,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
1778197608.620,6284.376,25000.0,30000.0,2000.0,30.0,50.0,0.95,0.05,10.0,100.0,30.0,12740.0,1092.0,24000.0,0.005,0.02,4000.0,18000.0,120.0,1.0,45.54,-73.58,55.0
