time_unix,monotonic,active,lat,lon,alt_msl,speed_ms,heading_deg,fix_type,num_sv
1778197249.932,5925.688,1,0.0,0.0,0.0,0.0,0.0,0,0
1778197250.935,5926.691,1,0.0,0.0,0.0,0.0,0.0,0,0
1778197251.938,5927.694,1,45.5056661,-73.5761503,63.906,0.04800000041723251,357.64508056640625,3,11
1778197252.942,5928.698,1,45.5056671,-73.57615179999999,64.524,0.11800000071525574,357.64508056640625,3,12
1778197253.944,5929.701,1,45.505668799999995,-73.5761539,65.297,0.10000000149011612,357.64508056640625,3,12
1778197254.947,5930.703,1,45.505668799999995,-73.5761539,65.297,0.10000000149011612,357.64508056640625,3,12
1778197255.950,5931.706,1,45.5056717,-73.5761569,66.1,0.06300000101327896,357.64508056640625,3,11
1778197256.953,5932.709,1,45.5056735,-73.5761591,65.861,0.061000000685453415,357.64508056640625,3,12
1778197257.956,5933.712,1,45.5056751,-73.57616089999999,66.157,0.013000000268220901,357.64508056640625,3,12
1778197258.958,5934.715,1,45.5056763,-73.5761617,66.316,0.10199999809265137,357.64508056640625,3,12
1778197259.962,5935.718,1,45.505677999999996,-73.5761644,67.116,0.07999999821186066,357.64508056640625,3,11
1778197260.965,5936.721,1,45.505679799999996,-73.5761677,67.614,0.04100000113248825,357.64508056640625,3,12
1778197261.917,5937.674,1,45.5056813,-73.5761698,67.786,0.0820000022649765,357.64508056640625,3,11
1778197262.920,5938.677,1,45.5056821,-73.57617139999999,68.322,0.050999999046325684,357.64508056640625,3,11
1778197263.923,5939.680,1,45.5056826,-73.5761722,69.013,0.10100000351667404,357.64508056640625,3,10
1778197264.926,5940.683,1,45.505668299999996,-73.5761577,68.881,2.5940001010894775,136.3507843017578,3,10
1778197265.929,5941.686,1,45.5056614,-73.5761515,69.477,0.17399999499320984,136.3507843017578,3,12
1778197266.932,5942.689,1,45.5056659,-73.5761539,68.753,0.609000027179718,118.33920288085938,3,10
1778197267.935,5943.692,1,45.505668799999995,-73.5761564,68.84,0.039000000804662704,118.33920288085938,3,12
1778197268.938,5944.694,1,45.5056492,-73.5761318,68.932,3.996000051498413,134.61184692382812,3,12
1778197269.942,5945.698,1,45.5055158,-73.5760438,67.212,16.332000732421875,155.46226501464844,3,8
1778197270.944,5946.701,1,45.505451199999996,-73.5760552,65.49,7.801000118255615,160.564697265625,3,8
1778197271.947,5947.703,1,45.5054636,-73.5760796,69.184,1.3489999771118164,202.09054565429688,3,8
1778197272.950,5948.707,1,45.505472,-73.5760737,71.172,0.7179999947547913,202.09054565429688,3,8
1778197273.953,5949.709,1,45.5054781,-73.57605649999999,71.03,1.1380000114440918,202.09054565429688,3,8
1778197274.956,5950.712,1,45.5055158,-73.57609839999999,70.609,5.429999828338623,302.0537109375,3,8
1778197275.958,5951.715,1,45.505528899999995,-73.5761047,72.262,1.350000023841858,302.0537109375,3,8
1778197276.961,5952.717,1,45.505528899999995,-73.5761047,72.262,1.350000023841858,302.0537109375,3,8
1778197277.964,5953.720,1,45.505528899999995,-73.5761047,72.262,1.350000023841858,302.0537109375,3,8
1778197278.916,5954.673,1,45.5055762,-73.5761235,74.822,3.371000051498413,213.12013244628906,3,7
1778197279.919,5955.676,1,45.505550799999995,-73.57610559999999,73.366,2.943000078201294,213.12013244628906,2,3
1778197280.922,5956.679,1,45.5055463,-73.57605,73.568,3.8889999389648438,213.12013244628906,3,5
1778197281.925,5957.681,1,45.5055463,-73.57605,73.568,3.8889999389648438,213.12013244628906,3,5
1778197282.928,5958.684,1,45.5054923,-73.57595669999999,73.821,4.2769999504089355,213.12013244628906,3,5
1778197283.931,5959.687,1,45.5054923,-73.57595669999999,73.821,4.2769999504089355,213.12013244628906,3,5
1778197284.934,5960.690,1,45.505445699999996,-73.57586959999999,74.03,4.2769999504089355,213.12013244628906,0,0
1778197285.937,5961.693,1,45.505421899999995,-73.5758263,73.75,4.2789998054504395,213.12013244628906,2,3
1778197286.940,5962.697,1,45.5053985,-73.5757828,73.738,4.2789998054504395,213.12013244628906,2,3
1778197287.943,5963.700,1,45.505375099999995,-73.5757393,73.743,4.2789998054504395,213.12013244628906,0,0
1778197288.946,5964.703,1,45.505375099999995,-73.5757393,73.743,4.2789998054504395,213.12013244628906,0,0
